host,processUUID,processName,event,objectType,objectData,objectUUID,timestamp,CommandLine
win10-2,eb1f6b1c-8e11-4b6b-a947-725278433544,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,send,socket,20.189.173.1:443.0,a96cbf58-fe58-4be7-8b63-dbc520e07280,14:28.0,
win10-2,eb1f6b1c-8e11-4b6b-a947-725278433544,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,receive,socket,20.189.173.1:443.0,a96cbf58-fe58-4be7-8b63-dbc520e07280,14:28.0,
win10-2,70730be6-56fd-4444-813f-4da8342dca5b,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,send,socket,104.208.16.90:443.0,66d2fe06-d2ac-4e92-93cf-7c89ede73fee,16:38.2,
win10-2,70730be6-56fd-4444-813f-4da8342dca5b,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,receive,socket,104.208.16.90:443.0,66d2fe06-d2ac-4e92-93cf-7c89ede73fee,16:38.2,
win10-2,2d4de879-9e5c-4844-ab9a-cf541ed5f537,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,receive,socket,13.69.239.79:443.0,b15f867d-4d89-4580-b77a-729c402e701c,17:09.4,
win10-2,2d4de879-9e5c-4844-ab9a-cf541ed5f537,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,send,socket,13.69.239.79:443.0,b15f867d-4d89-4580-b77a-729c402e701c,17:09.4,
win10-2,95f4b6b1-5218-4ba9-afb1-05a72a29d88e,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,send,socket,20.189.173.8:443.0,4eb90915-e0ee-443c-b48f-810d549d4950,18:04.6,
win10-2,95f4b6b1-5218-4ba9-afb1-05a72a29d88e,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,receive,socket,20.189.173.8:443.0,4eb90915-e0ee-443c-b48f-810d549d4950,18:04.6,
win10-2,69f50bfa-630c-47e9-909e-b56c2b0ef1d2,C:\Users\user\AppData\Local\Programs\Python\Python312\python.exe,execute,file,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,62ed0d67-9921-4785-87d1-9714161a5165,18:08.4,"""c:\Program Files\AutoHotkey\v2\AutoHotkey64.exe"" ahk_scripts\browse-ensure.ahk 30 https://www.ynet.co.il"
win10-2,69f50bfa-630c-47e9-909e-b56c2b0ef1d2,C:\Users\user\AppData\Local\Programs\Python\Python312\python.exe,fork,process,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,e86f78a6-25e1-4936-8c4b-cb0d45cb8abd,18:08.4,
win10-2,e86f78a6-25e1-4936-8c4b-cb0d45cb8abd,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,execute,file,C:\Program Files\Google\Chrome\Application\chrome.exe,e61dbe4c-ad87-40c2-b1dd-b2896d43b763,18:08.5,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --new-window"
win10-2,e86f78a6-25e1-4936-8c4b-cb0d45cb8abd,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,fork,process,C:\Program Files\Google\Chrome\Application\chrome.exe,7f91d98e-5973-4ee7-a070-9424fd3dc0e9,18:08.5,
win10-2,42772ee8-1ea3-4509-8b67-6a2d02d64264,C:\Windows\System32\services.exe,execute,file,C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe,01a3874c-b2fc-4fca-89c8-a8dd0eba98eb,18:09.0,"""C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe"""
win10-2,42772ee8-1ea3-4509-8b67-6a2d02d64264,C:\Windows\System32\services.exe,fork,process,C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe,76eef2e0-cd70-44e5-b00a-1b4f701d1b06,18:09.0,
win10-2,69f50bfa-630c-47e9-909e-b56c2b0ef1d2,C:\Users\user\AppData\Local\Programs\Python\Python312\python.exe,fork,process,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,d54e0907-ff24-4a91-9f3f-08e4900d02dd,18:21.9,
win10-2,d54e0907-ff24-4a91-9f3f-08e4900d02dd,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,execute,file,C:\Program Files\Google\Chrome\Application\chrome.exe,e61dbe4c-ad87-40c2-b1dd-b2896d43b763,18:21.9,"""C:\Program Files\Google\Chrome\Application\chrome.exe"""
win10-2,d54e0907-ff24-4a91-9f3f-08e4900d02dd,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,fork,process,C:\Program Files\Google\Chrome\Application\chrome.exe,01cac6e5-71f7-4b00-9749-4093db0db234,18:21.9,
win10-2,42772ee8-1ea3-4509-8b67-6a2d02d64264,C:\Windows\System32\services.exe,fork,process,C:\Program Files\Google\Chrome\Application\130.0.6723.92\elevation_service.exe,6c876f5e-f6d0-4cad-a4cc-93ba397315e7,18:22.5,
win10-2,69f50bfa-630c-47e9-909e-b56c2b0ef1d2,C:\Users\user\AppData\Local\Programs\Python\Python312\python.exe,fork,process,C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe,76eef2e0-cd70-44e5-b00a-1b4f701d1b06,18:43.6,
